date, pm25, pm10, no2
2022/9/20, 5, 3, 8
2022/9/21, 8, 5, 10
2022/9/22, 12, 5, 10
2022/9/23, 14, 8, 14
2022/9/24, 23, 6, 10
2022/9/25, 19, 5, 10
2022/9/26, 16, 9, 8
2022/9/27, 28, 6, 5
2022/9/28, 18, 4, 4
2022/9/29, 11, 5, 6
2022/9/30, 13, , 
2023/10/10, , 3, 2
2023/4/4, , 4, 6
2023/6/13, , 19, 11
2023/1/28, , 3, 5
2023/3/19, , 6, 4
2022/10/2, , 12, 7
2022/9/1, , 3, 8
